SID,ISO_TIME,LAT,LON,BASIN,SUBBASIN
1901286N14135,1901-10-12 18:00:00,14.3804,132.977,WP,MM
1901292N21130,1901-10-18 18:00:00,21.6788,131.311,WP,MM
1901295N14134,1901-10-21 18:00:00,14.0488,131.51,WP,MM
1901297N17133,1901-10-24 06:00:00,17.0991,133.049,WP,MM
1902140N13128,1902-05-19 18:00:00,14.0064,127.507,WP,MM
1902153N18123,1902-06-01 18:00:00,17.6849,122.887,WP,MM
1902182N20124,1902-06-30 18:00:00,20.7498,124.512,WP,MM
1902189N12129,1902-07-07 18:00:00,11.928,127.458,WP,MM
1902195N13127,1902-07-13 18:00:00,13.0174,126.05,WP,MM
1902205N14130,1902-07-23 18:00:00,13.9004,129.416,WP,MM
1902212N19124,1902-07-31 06:00:00,19.4654,123.589,WP,MM
1902217N20129,1902-08-04 18:00:00,20.3851,128.279,WP,MM
1902232N18114,1902-08-19 18:00:00,17.4729,113.886,WP,MM
1902241N21123,1902-08-29 06:00:00,20.8897,122.802,WP,MM
1902245N22133,1902-09-01 18:00:00,22.6618,132.347,WP,MM
1902249N23132,1902-09-05 18:00:00,23.5831,131.671,WP,MM
1902264N18126,1902-09-20 18:00:00,17.9317,125.563,WP,MM
1902270N21122,1902-09-26 18:00:00,21.9766,123.565,WP,MM
1902270N27144,1902-09-26 18:00:00,27.134,143.902,WP,MM
1902279N26134,1902-10-05 18:00:00,26.6001,134.266,WP,MM
1902312N14132,1902-11-07 18:00:00,14.2242,130.061,WP,MM
1903153N11127,1903-06-01 18:00:00,10.7703,126.9,WP,MM
1903189N23129,1903-07-07 18:00:00,23.3165,128.9,WP,MM
1903208N16132,1903-07-26 18:00:00,16.3295,131.366,WP,MM
1903217N20124,1903-08-04 18:00:00,19.998,124.219,WP,MM
1903223N20126,1903-08-10 18:00:00,20.1954,125.602,WP,MM
1903230N23122,1903-08-18 06:00:00,22.8828,121.771,WP,MM
1903241N19124,1903-08-28 18:00:00,19.4763,123.229,WP,MM
1903244N20131,1903-08-31 18:00:00,20.4214,130.515,WP,MM
1903253N18120,1903-09-09 18:00:00,17.916,119.218,WP,MM
1903263N21133,1903-09-19 18:00:00,20.9211,132.957,WP,MM
1903271N15118,1903-09-27 18:00:00,15.3894,117.691,WP,MM
1903277N22127,1903-10-03 18:00:00,21.9117,125.983,WP,MM
1903281N22133,1903-10-07 18:00:00,22.0,133.433,WP,MM
1903291N17126,1903-10-18 06:00:00,17.2702,126.097,WP,MM
1903298N16125,1903-10-24 18:00:00,15.7924,124.447,WP,MM
1903309N09135,1903-11-04 18:00:00,9.61296,133.762,WP,MM
1904138N14125,1904-05-17 06:00:00,14.25,125.062,WP,MM
1904179N21121,1904-06-26 18:00:00,21.067,121.051,WP,MM
1904184N14126,1904-07-01 15:00:00,14.2349,125.838,WP,MM
1904187N12150,1904-07-04 15:00:00,11.6404,149.65,WP,MM
1904195N22128,1904-07-12 15:00:00,22.0906,128.184,WP,MM
1904202N10150,1904-07-19 15:00:00,9.50529,149.48,WP,MM
1904205N18149,1904-07-22 15:00:00,18.0991,148.391,WP,MM
1904213N21136,1904-07-30 15:00:00,21.4817,135.539,WP,MM
1904222N18110,1904-08-08 18:00:00,18.374,110.635,WP,MM
